apk,entry,size,sha256
ORIGINAL_BASELINE.apk,META-INF/com/android/build/gradle/app-metadata.properties,56,C24CE2C99FF94972B93DD34C95C66D5A780F9FD07A569BDF6D46EC5260CFEF6B
ORIGINAL_BASELINE.apk,assets/dexopt/baseline.prof,2486,BF06852C4A66EF951B9EDE7243E60417EAB38AD5C50C2B230AFAEAEB95B99390
ORIGINAL_BASELINE.apk,assets/dexopt/baseline.profm,195,0E81E4959E34C94F94613ACA4AA8887EF8C30E0A81DF9DAA9FF2649F2E8FB628
ORIGINAL_BASELINE.apk,classes.dex,5861076,5D7D2DF6CAE802982D3066F8CFD46EE6D409C07539B7DE38A21FC3A4CEB495AF
ORIGINAL_BASELINE.apk,lib/arm64-v8a/libonnxruntime.so,16035904,26CC1B284CC22F87A8D4C2C2424B091DCE3A00D9D3B74113863405D603F048D3
ORIGINAL_BASELINE.apk,lib/arm64-v8a/libsherpa-onnx-c-api.so,4392024,7728733B52596CDC00E1C79B9F7B66DD2B958E1C10495F27DE974D8617EA3F1F
ORIGINAL_BASELINE.apk,lib/arm64-v8a/libsherpa-onnx-cxx-api.so,49136,9FDBD778F841CFBCB50261FA9861498B1B14A76201D582E87844B175AC4C2CFB
ORIGINAL_BASELINE.apk,lib/arm64-v8a/libsherpa-onnx-jni.so,4477896,2D2C2531E564996413A5A9D3E5D46A5DE91A9373F6698CAD08D14CA327C667AE
ORIGINAL_BASELINE.apk,assets/wallpaper/1.jpg,118658,66C3EFB808BCCDFBF94D46D6A340E7CBDA2F9EBCB6623E37EEDC658EC07C17FD
ORIGINAL_BASELINE.apk,DebugProbesKt.bin,1738,158A19EB94AA2F3E2F459DB69EE10276C73B945DD6C5F8FC223CF2D85E2B5E33
ORIGINAL_BASELINE.apk,META-INF/androidx.activity_activity.version,6,3EB1EF94B5890CA727158B106142685C8733B0ACE5BCB4CF3F0AC14F9F0643F4
ORIGINAL_BASELINE.apk,META-INF/androidx.annotation_annotation-experimental.version,6,64D23F858EF51B0F996E4966D4E27C0371B437E2D2787890B1F7AD22D4EC5663
ORIGINAL_BASELINE.apk,META-INF/androidx.appcompat_appcompat-resources.version,6,6430A242E9486093EF6F71D9086D48F61BA102F0D2FB0F5B95334C6007A46DB3
ORIGINAL_BASELINE.apk,META-INF/androidx.appcompat_appcompat.version,6,6430A242E9486093EF6F71D9086D48F61BA102F0D2FB0F5B95334C6007A46DB3
ORIGINAL_BASELINE.apk,META-INF/androidx.arch.core_core-runtime.version,67,1B7C606370188534DAC5561FBA2B2988093829697FCE9E6E8832E9291D24ED00
ORIGINAL_BASELINE.apk,META-INF/androidx.cardview_cardview.version,6,59854984853104DF5C353E2F681A15FC7924742F9A2E468C29AF248DCE45CE03
ORIGINAL_BASELINE.apk,META-INF/androidx.coordinatorlayout_coordinatorlayout.version,6,1575E1AF4A95F12F70B4EE6A6ADCE8160953D93EA17DC2611B90883CCC3AD3B8
ORIGINAL_BASELINE.apk,META-INF/androidx.core_core-ktx.version,7,C92DF6BDDE330BE219D62F48EC6490B01889436F2F59027AAB200E74DE619168
ORIGINAL_BASELINE.apk,META-INF/androidx.core_core.version,7,C92DF6BDDE330BE219D62F48EC6490B01889436F2F59027AAB200E74DE619168
ORIGINAL_BASELINE.apk,META-INF/androidx.cursoradapter_cursoradapter.version,6,59854984853104DF5C353E2F681A15FC7924742F9A2E468C29AF248DCE45CE03
ORIGINAL_BASELINE.apk,META-INF/androidx.customview_customview-poolingcontainer.version,6,59854984853104DF5C353E2F681A15FC7924742F9A2E468C29AF248DCE45CE03
ORIGINAL_BASELINE.apk,META-INF/androidx.customview_customview.version,6,1575E1AF4A95F12F70B4EE6A6ADCE8160953D93EA17DC2611B90883CCC3AD3B8
ORIGINAL_BASELINE.apk,META-INF/androidx.databinding_baseAdapters.version,5,B4B41112E37CFECD1D19A2A6210B745BC3134AE321B43A5D706C335BCD08F279
ORIGINAL_BASELINE.apk,META-INF/androidx.databinding_databindingKtx.version,5,B4B41112E37CFECD1D19A2A6210B745BC3134AE321B43A5D706C335BCD08F279
ORIGINAL_BASELINE.apk,META-INF/androidx.databinding_library.version,5,B4B41112E37CFECD1D19A2A6210B745BC3134AE321B43A5D706C335BCD08F279
ORIGINAL_BASELINE.apk,META-INF/androidx.databinding_viewbinding.version,5,B4B41112E37CFECD1D19A2A6210B745BC3134AE321B43A5D706C335BCD08F279
ORIGINAL_BASELINE.apk,META-INF/androidx.documentfile_documentfile.version,6,59854984853104DF5C353E2F681A15FC7924742F9A2E468C29AF248DCE45CE03
ORIGINAL_BASELINE.apk,META-INF/androidx.drawerlayout_drawerlayout.version,6,CC52F678848B814373757B460383BF61960E4943C203735ADDE0A350B3E50989
ORIGINAL_BASELINE.apk,META-INF/androidx.dynamicanimation_dynamicanimation.version,6,59854984853104DF5C353E2F681A15FC7924742F9A2E468C29AF248DCE45CE03
ORIGINAL_BASELINE.apk,META-INF/androidx.emoji2_emoji2-views-helper.version,6,1E5B51CDE515396A9FA762909CF8CA6584CCC564B325D2EEBEEA76175FE95C4D
ORIGINAL_BASELINE.apk,META-INF/androidx.emoji2_emoji2.version,6,1E5B51CDE515396A9FA762909CF8CA6584CCC564B325D2EEBEEA76175FE95C4D
ORIGINAL_BASELINE.apk,META-INF/androidx.fragment_fragment.version,6,F4EAAE07C72DD003028A4583EE93E5146E4FB2E5BA80566D3E79D73EDD39EE36
ORIGINAL_BASELINE.apk,META-INF/androidx.interpolator_interpolator.version,6,59854984853104DF5C353E2F681A15FC7924742F9A2E468C29AF248DCE45CE03
ORIGINAL_BASELINE.apk,META-INF/androidx.legacy_legacy-support-core-utils.version,6,59854984853104DF5C353E2F681A15FC7924742F9A2E468C29AF248DCE45CE03
ORIGINAL_BASELINE.apk,META-INF/androidx.lifecycle_lifecycle-livedata-core.version,78,474006D0CC8100F8DFC68D9269F233A347C29EB4A36D859C20A4953AA41D4DFC
ORIGINAL_BASELINE.apk,META-INF/androidx.lifecycle_lifecycle-livedata.version,73,8FB16C24C98902BA99917588DBFD038DF0D9BF8693C9256E2BA9952C78B44B33
ORIGINAL_BASELINE.apk,META-INF/androidx.lifecycle_lifecycle-process.version,72,ADE1AEF8B090839EC122C696BE949DD1633CCBAC22BCB1A0F895BACDE74F66FD
ORIGINAL_BASELINE.apk,META-INF/androidx.lifecycle_lifecycle-runtime-ktx.version,76,D48640B14AD33AAC1DB0B35C5D14AA7947543B7C2829019A6360D0C01546A2EB
ORIGINAL_BASELINE.apk,META-INF/androidx.lifecycle_lifecycle-runtime.version,72,4257CCCBBA3F7AEA521A40937D1BFDD5949F5F3E1ED689C402A4F2977109030B
ORIGINAL_BASELINE.apk,META-INF/androidx.lifecycle_lifecycle-service.version,72,7F6FA137A5C28F6911408A6FA6D73CB1DB86B1813AC4895BFEC6029326B283F0
ORIGINAL_BASELINE.apk,META-INF/androidx.lifecycle_lifecycle-viewmodel-savedstate.version,85,421FC63528B574159FBAB9883B3767B85C6F073415E4F58A166ACD93706DB90C
ORIGINAL_BASELINE.apk,META-INF/androidx.lifecycle_lifecycle-viewmodel.version,74,405E9F0F83651CA097DAC96B53A9D149A9B6F1C890D232E1F3E86BC03FCC62B1
ORIGINAL_BASELINE.apk,META-INF/androidx.loader_loader.version,6,59854984853104DF5C353E2F681A15FC7924742F9A2E468C29AF248DCE45CE03
ORIGINAL_BASELINE.apk,META-INF/androidx.localbroadcastmanager_localbroadcastmanager.version,6,59854984853104DF5C353E2F681A15FC7924742F9A2E468C29AF248DCE45CE03
ORIGINAL_BASELINE.apk,META-INF/androidx.print_print.version,6,59854984853104DF5C353E2F681A15FC7924742F9A2E468C29AF248DCE45CE03
ORIGINAL_BASELINE.apk,META-INF/androidx.profileinstaller_profileinstaller.version,6,64D23F858EF51B0F996E4966D4E27C0371B437E2D2787890B1F7AD22D4EC5663
ORIGINAL_BASELINE.apk,META-INF/androidx.recyclerview_recyclerview.version,6,33158972A53877B421CFE2598B8D93CAB169963A4964B45EE889E85349979018
ORIGINAL_BASELINE.apk,META-INF/androidx.savedstate_savedstate.version,6,6CF4E084B47F33C9B02EF79279D157833868F8F70514169A768BE353EE328FEA
ORIGINAL_BASELINE.apk,META-INF/androidx.startup_startup-runtime.version,6,CC52F678848B814373757B460383BF61960E4943C203735ADDE0A350B3E50989
