apk,path,size,sha256,signature_exit,cert_sha256,badging_exit,package,version_code,version_name
ORIGINAL_BASELINE.apk,D:\apk\ORIGINAL_BASELINE.apk,29799983,93042E48C12ED395E8F5D450BE1285E0397897F685EE95AC4080763B6E6DCCD9,0,4D61B9F1AB18DFDE56A19EC9D98EC6BE254A1B8362B444E19AEC0E7E4576DF48,0,com.byd.launcher,1,1.0
original.apk,D:\apk\original.apk,29799983,93042E48C12ED395E8F5D450BE1285E0397897F685EE95AC4080763B6E6DCCD9,0,4D61B9F1AB18DFDE56A19EC9D98EC6BE254A1B8362B444E19AEC0E7E4576DF48,0,com.byd.launcher,1,1.0
智UI_V0.4.2.apk,D:\apk\智UI_V0.4.2.apk,29799983,93042E48C12ED395E8F5D450BE1285E0397897F685EE95AC4080763B6E6DCCD9,0,4D61B9F1AB18DFDE56A19EC9D98EC6BE254A1B8362B444E19AEC0E7E4576DF48,1,,,
Launcher_Rebuild_Test.apk,D:\apk\Launcher_Rebuild_Test.apk,30063935,FF06F8215156DC6CDA888C699B42FD5706A7E5E44E97227A0340A4EEA24DAAE9,0,C2BA875AFBF2EFBBFFF44CB64D4D5E16DD4CB1FEF56E441FC8C3BDE019FDB13C,0,com.byd.launcher,1,1.0
zhiui-final-v2.apk,D:\apk\zhiui-final-v2.apk,30063935,ADA7BD1DA144470F8C05BD24F0A7D8A27D00C435C0146D517F455D9F112FF1DC,0,C2BA875AFBF2EFBBFFF44CB64D4D5E16DD4CB1FEF56E441FC8C3BDE019FDB13C,0,com.byd.launcher,1,1.0
zhiui-final-v3-statusbar-fix.apk,D:\apk\zhiui-final-v3-statusbar-fix.apk,30063935,3FD7013F6A5D451D109B9730DAA89965B14692607347247EF89A6530FE7CEC66,0,C2BA875AFBF2EFBBFFF44CB64D4D5E16DD4CB1FEF56E441FC8C3BDE019FDB13C,0,com.byd.launcher,1,1.0
zhiui-final-v3.1-wallpaper-statusbar-fix.apk,D:\apk\zhiui-final-v3.1-wallpaper-statusbar-fix.apk,30063935,C57380C53055CAB9CD21ACFF56F97781CE740941025B1C34D22D41188242BC66,0,C2BA875AFBF2EFBBFFF44CB64D4D5E16DD4CB1FEF56E441FC8C3BDE019FDB13C,0,com.byd.launcher,1,1.0
zhiui-final-v3.10-lyrics-expanded-no-clock-r1.apk,D:\apk\zhiui-final-v3.10-lyrics-expanded-no-clock-r1.apk,30063935,D8B1804CFDFC7DB1F23C2AA6A77EA855FBD478D4C62DD6F2910CD6029C99987F,0,C2BA875AFBF2EFBBFFF44CB64D4D5E16DD4CB1FEF56E441FC8C3BDE019FDB13C,0,com.byd.launcher,1,1.0
zhiui-final-v3.11-lyrics-click-music-app-r1.apk,D:\apk\zhiui-final-v3.11-lyrics-click-music-app-r1.apk,30063935,216432903EDFD70E9F774C6EF9B1379BD3ABC9D80C52E8B7D79386EDE3698710,0,C2BA875AFBF2EFBBFFF44CB64D4D5E16DD4CB1FEF56E441FC8C3BDE019FDB13C,0,com.byd.launcher,1,1.0
zhiui-final-v3.2-wallpaper-statusbar-fix.apk,D:\apk\zhiui-final-v3.2-wallpaper-statusbar-fix.apk,30063935,837F67EF80AD09563E4C2C690872BB304F2A775996716B72FEBC229AB91EB313,0,C2BA875AFBF2EFBBFFF44CB64D4D5E16DD4CB1FEF56E441FC8C3BDE019FDB13C,0,com.byd.launcher,1,1.0
