apk,layout,id,original_type,candidate_type,smali_users,status
zhiui-final-v2.apk,res\layout\vehicle_control_panel.xml,vehicle_content,LinearLayout,MISSING,smali\o\oj.smali;smali\o\y9.smali,REVIEW_LAYOUT_CONTEXT
zhiui-final-v2.apk,res\layout\vehicle_control_panel.xml,tv_panel_title,TextView,MISSING,,REVIEW_LAYOUT_CONTEXT
zhiui-final-v2.apk,res\layout\vehicle_control_panel.xml,btn_edit_controls,ImageView,MISSING,smali\o\oj.smali,REVIEW_LAYOUT_CONTEXT
zhiui-final-v2.apk,res\layout\vehicle_control_panel.xml,btn_close_panel,TextView,Button,smali\o\oj.smali;smali\com\byd\launcher\AirControlPanel.smali;smali\com\byd\launcher\AirControlPanelClickListener.smali,REVIEW_LAYOUT_CONTEXT
zhiui-final-v2.apk,res\layout\vehicle_control_panel.xml,rv_vehicle_controls,androidx.recyclerview.widget.RecyclerView,MISSING,smali\o\oj.smali,REVIEW_LAYOUT_CONTEXT
zhiui-final-v2.apk,res\layout\vehicle_control_panel.xml,iv_vehicle_model,ImageView,MISSING,smali\o\oj.smali,REVIEW_LAYOUT_CONTEXT
zhiui-final-v2.apk,res\layout\vehicle_control_panel.xml,tv_range,TextView,MISSING,smali\o\ag.smali;smali\o\oj.smali;smali\o\yi.smali,REVIEW_LAYOUT_CONTEXT
zhiui-final-v2.apk,res\layout\vehicle_control_panel.xml,tv_elec_range,TextView,MISSING,smali\o\ag.smali;smali\o\oj.smali;smali\o\yi.smali,REVIEW_LAYOUT_CONTEXT
zhiui-final-v2.apk,res\layout\vehicle_control_panel.xml,tv_fuel_range,TextView,MISSING,smali\o\ag.smali;smali\o\oj.smali;smali\o\yi.smali,REVIEW_LAYOUT_CONTEXT
zhiui-final-v2.apk,res\layout\vehicle_control_panel.xml,tv_mileage,TextView,MISSING,smali\o\ag.smali;smali\o\oj.smali;smali\o\yi.smali,REVIEW_LAYOUT_CONTEXT
zhiui-final-v2.apk,res\layout\vehicle_control_panel.xml,tv_ev_mileage,TextView,MISSING,smali\o\ag.smali;smali\o\oj.smali;smali\o\yi.smali,REVIEW_LAYOUT_CONTEXT
zhiui-final-v2.apk,res\layout\vehicle_control_panel.xml,tv_hev_mileage,TextView,MISSING,smali\o\ag.smali;smali\o\oj.smali;smali\o\yi.smali,REVIEW_LAYOUT_CONTEXT
zhiui-final-v2.apk,res\layout\vehicle_control_panel.xml,tv_consumption,TextView,MISSING,smali\o\ag.smali;smali\o\oj.smali;smali\o\yi.smali,REVIEW_LAYOUT_CONTEXT
zhiui-final-v2.apk,res\layout\vehicle_control_panel.xml,tv_battery,TextView,MISSING,smali\o\ag.smali;smali\o\oj.smali;smali\o\yi.smali,REVIEW_LAYOUT_CONTEXT
zhiui-final-v2.apk,res\layout\vehicle_control_panel.xml,tv_fuel_level,TextView,MISSING,smali\o\ag.smali;smali\o\oj.smali;smali\o\yi.smali,REVIEW_LAYOUT_CONTEXT
zhiui-final-v2.apk,res\layout\vehicle_control_panel.xml,tv_ext_charging,TextView,MISSING,smali\o\ag.smali;smali\o\oj.smali;smali\o\yi.smali,REVIEW_LAYOUT_CONTEXT
zhiui-final-v2.apk,res\layout\vehicle_control_panel.xml,tv_total_elec,TextView,MISSING,smali\o\ag.smali;smali\o\oj.smali;smali\o\yi.smali,REVIEW_LAYOUT_CONTEXT
zhiui-final-v2.apk,res\layout\vehicle_control_panel.xml,tv_total_fuel,TextView,MISSING,smali\o\ag.smali;smali\o\oj.smali;smali\o\yi.smali,REVIEW_LAYOUT_CONTEXT
zhiui-final-v3.11-lyrics-click-music-app-r1.apk,res\layout\vehicle_control_panel.xml,vehicle_content,LinearLayout,MISSING,smali\o\oj.smali;smali\o\y9.smali,REVIEW_LAYOUT_CONTEXT
zhiui-final-v3.11-lyrics-click-music-app-r1.apk,res\layout\vehicle_control_panel.xml,tv_panel_title,TextView,MISSING,,REVIEW_LAYOUT_CONTEXT
zhiui-final-v3.11-lyrics-click-music-app-r1.apk,res\layout\vehicle_control_panel.xml,btn_edit_controls,ImageView,MISSING,smali\o\oj.smali,REVIEW_LAYOUT_CONTEXT
zhiui-final-v3.11-lyrics-click-music-app-r1.apk,res\layout\vehicle_control_panel.xml,btn_close_panel,TextView,Button,smali\o\oj.smali;smali\com\byd\launcher\AirControlPanel.smali;smali\com\byd\launcher\AirControlPanelClickListener.smali,REVIEW_LAYOUT_CONTEXT
zhiui-final-v3.11-lyrics-click-music-app-r1.apk,res\layout\vehicle_control_panel.xml,rv_vehicle_controls,androidx.recyclerview.widget.RecyclerView,MISSING,smali\o\oj.smali,REVIEW_LAYOUT_CONTEXT
zhiui-final-v3.11-lyrics-click-music-app-r1.apk,res\layout\vehicle_control_panel.xml,iv_vehicle_model,ImageView,MISSING,smali\o\oj.smali,REVIEW_LAYOUT_CONTEXT
zhiui-final-v3.11-lyrics-click-music-app-r1.apk,res\layout\vehicle_control_panel.xml,tv_range,TextView,MISSING,smali\o\ag.smali;smali\o\oj.smali;smali\o\yi.smali,REVIEW_LAYOUT_CONTEXT
zhiui-final-v3.11-lyrics-click-music-app-r1.apk,res\layout\vehicle_control_panel.xml,tv_elec_range,TextView,MISSING,smali\o\ag.smali;smali\o\oj.smali;smali\o\yi.smali,REVIEW_LAYOUT_CONTEXT
zhiui-final-v3.11-lyrics-click-music-app-r1.apk,res\layout\vehicle_control_panel.xml,tv_fuel_range,TextView,MISSING,smali\o\ag.smali;smali\o\oj.smali;smali\o\yi.smali,REVIEW_LAYOUT_CONTEXT
zhiui-final-v3.11-lyrics-click-music-app-r1.apk,res\layout\vehicle_control_panel.xml,tv_mileage,TextView,MISSING,smali\o\ag.smali;smali\o\oj.smali;smali\o\yi.smali,REVIEW_LAYOUT_CONTEXT
zhiui-final-v3.11-lyrics-click-music-app-r1.apk,res\layout\vehicle_control_panel.xml,tv_ev_mileage,TextView,MISSING,smali\o\ag.smali;smali\o\oj.smali;smali\o\yi.smali,REVIEW_LAYOUT_CONTEXT
zhiui-final-v3.11-lyrics-click-music-app-r1.apk,res\layout\vehicle_control_panel.xml,tv_hev_mileage,TextView,MISSING,smali\o\ag.smali;smali\o\oj.smali;smali\o\yi.smali,REVIEW_LAYOUT_CONTEXT
zhiui-final-v3.11-lyrics-click-music-app-r1.apk,res\layout\vehicle_control_panel.xml,tv_consumption,TextView,MISSING,smali\o\ag.smali;smali\o\oj.smali;smali\o\yi.smali,REVIEW_LAYOUT_CONTEXT
zhiui-final-v3.11-lyrics-click-music-app-r1.apk,res\layout\vehicle_control_panel.xml,tv_battery,TextView,MISSING,smali\o\ag.smali;smali\o\oj.smali;smali\o\yi.smali,REVIEW_LAYOUT_CONTEXT
zhiui-final-v3.11-lyrics-click-music-app-r1.apk,res\layout\vehicle_control_panel.xml,tv_fuel_level,TextView,MISSING,smali\o\ag.smali;smali\o\oj.smali;smali\o\yi.smali,REVIEW_LAYOUT_CONTEXT
zhiui-final-v3.11-lyrics-click-music-app-r1.apk,res\layout\vehicle_control_panel.xml,tv_ext_charging,TextView,MISSING,smali\o\ag.smali;smali\o\oj.smali;smali\o\yi.smali,REVIEW_LAYOUT_CONTEXT
zhiui-final-v3.11-lyrics-click-music-app-r1.apk,res\layout\vehicle_control_panel.xml,tv_total_elec,TextView,MISSING,smali\o\ag.smali;smali\o\oj.smali;smali\o\yi.smali,REVIEW_LAYOUT_CONTEXT
