parent,candidate,path,method,before_line,after_line,status,evidence,disposition
ORIGINAL_BASELINE.apk,zhiui-final-v2.apk,smali/com/byd/launcher/AirControlPanel.smali,private static bind(Landroid/view/View;ILandroid/view/View$OnClickListener;)V,0,6,PENDING_REVIEW,,
ORIGINAL_BASELINE.apk,zhiui-final-v2.apk,smali/com/byd/launcher/AirControlPanel.smali,public static show(Lcom/byd/launcher/NavBarService;)V,0,21,PENDING_REVIEW,,
ORIGINAL_BASELINE.apk,zhiui-final-v2.apk,smali/com/byd/launcher/AirControlPanelClickListener.smali,public constructor <init>(Lcom/byd/launcher/NavBarService;Landroid/app/Dialog;)V,0,15,PENDING_REVIEW,,
ORIGINAL_BASELINE.apk,zhiui-final-v2.apk,smali/com/byd/launcher/AirControlPanelClickListener.smali,public final onClick(Landroid/view/View;)V,0,29,PENDING_REVIEW,,
ORIGINAL_BASELINE.apk,zhiui-final-v2.apk,smali/com/byd/launcher/MainActivity.smali,public final onCreate(Landroid/os/Bundle;)V,1960,1977,PENDING_REVIEW,,
ORIGINAL_BASELINE.apk,zhiui-final-v2.apk,smali/com/byd/launcher/MainActivity.smali,public final onResume()V,2467,2534,PENDING_REVIEW,,
ORIGINAL_BASELINE.apk,zhiui-final-v2.apk,smali/com/byd/launcher/MainActivity.smali,public static ͼ()Ljava/util/ArrayList;,443,445,PENDING_REVIEW,,
ORIGINAL_BASELINE.apk,zhiui-final-v2.apk,smali/com/byd/launcher/ModeKeyReceiver.smali,public constructor <init>()V,0,6,PENDING_REVIEW,,
ORIGINAL_BASELINE.apk,zhiui-final-v2.apk,smali/com/byd/launcher/ModeKeyReceiver.smali,public final onReceive(Landroid/content/Context;Landroid/content/Intent;)V,0,16,PENDING_REVIEW,,
ORIGINAL_BASELINE.apk,zhiui-final-v2.apk,smali/com/byd/launcher/NavBarService.smali,public final attachActivitySystemBars()V,0,3866,PENDING_REVIEW,,
ORIGINAL_BASELINE.apk,zhiui-final-v2.apk,smali/com/byd/launcher/NavBarService.smali,public final attachStatusBarToMainActivity()V,0,4043,PENDING_REVIEW,,
ORIGINAL_BASELINE.apk,zhiui-final-v2.apk,smali/com/byd/launcher/NavBarService.smali,public final getStatusBarField(Ljava/lang/String;)Ljava/lang/Object;,0,4262,PENDING_REVIEW,,
ORIGINAL_BASELINE.apk,zhiui-final-v2.apk,smali/com/byd/launcher/NavBarService.smali,public final onKeyEvent(Landroid/view/KeyEvent;)Z,5305,5773,PENDING_REVIEW,,
ORIGINAL_BASELINE.apk,zhiui-final-v2.apk,smali/com/byd/launcher/NavBarService.smali,public final setStatusBarField(Ljava/lang/String;Ljava/lang/Object;)V,0,7973,PENDING_REVIEW,,
ORIGINAL_BASELINE.apk,zhiui-final-v2.apk,smali/com/byd/launcher/NavBarService.smali,public final supportsFullscreenMetaData(Ljava/lang/String;Ljava/lang/String;)Z,0,8053,PENDING_REVIEW,,
ORIGINAL_BASELINE.apk,zhiui-final-v2.apk,smali/com/byd/launcher/NavBarService.smali,public final ζ(Landroid/view/View;)V,16835,17406,PENDING_REVIEW,,
ORIGINAL_BASELINE.apk,zhiui-final-v2.apk,smali/com/byd/launcher/NavBarService.smali,public final Ϟ()V,25231,25806,PENDING_REVIEW,,
ORIGINAL_BASELINE.apk,zhiui-final-v2.apk,smali/com/byd/launcher/NavBarService.smali,public final Ϡ(I)V,27101,27706,PENDING_REVIEW,,
ORIGINAL_BASELINE.apk,zhiui-final-v2.apk,smali/com/byd/launcher/NavBarService.smali,public onAccessibilityEvent(Landroid/view/accessibility/AccessibilityEvent;)V,3847,4290,PENDING_REVIEW,,
ORIGINAL_BASELINE.apk,zhiui-final-v2.apk,smali/com/byd/launcher/NavBarService.smali,public static constructor <clinit>()V,313,313,PENDING_REVIEW,,
ORIGINAL_BASELINE.apk,zhiui-final-v2.apk,smali/com/byd/launcher/NavBarService.smali,public static Ͱ(Lcom/byd/launcher/NavBarService;Ljava/lang/String;Ljava/lang/String;Landroid/view/View;)V,1587,1591,PENDING_REVIEW,,
ORIGINAL_BASELINE.apk,zhiui-final-v2.apk,smali/com/byd/launcher/WallpaperAutoRotateRunnable.smali,public constructor <init>(Lcom/byd/launcher/MainActivity;)V,0,13,PENDING_REVIEW,,
ORIGINAL_BASELINE.apk,zhiui-final-v2.apk,smali/com/byd/launcher/WallpaperAutoRotateRunnable.smali,public final run()V,0,125,PENDING_REVIEW,,
ORIGINAL_BASELINE.apk,zhiui-final-v2.apk,smali/com/byd/launcher/WallpaperAutoRotateRunnable.smali,public static advanceNow(Lcom/byd/launcher/MainActivity;)V,0,23,PENDING_REVIEW,,
ORIGINAL_BASELINE.apk,zhiui-final-v2.apk,smali/com/byd/launcher/WallpaperAutoRotateRunnable.smali,public static schedule(Lcom/byd/launcher/MainActivity;Landroid/view/View;)V,0,68,PENDING_REVIEW,,
ORIGINAL_BASELINE.apk,zhiui-final-v2.apk,smali/com/byd/launcher/WallpaperDirectoryResolver.smali,public static resolve(Landroid/content/Context;)Ljava/lang/String;,0,6,PENDING_REVIEW,,
ORIGINAL_BASELINE.apk,zhiui-final-v2.apk,smali/com/byd/launcher/WallpaperRotationOptionListener.smali,public constructor <init>(Landroid/content/Context;)V,0,16,PENDING_REVIEW,,
ORIGINAL_BASELINE.apk,zhiui-final-v2.apk,smali/com/byd/launcher/WallpaperRotationOptionListener.smali,public constructor <init>(Landroid/content/Context;I)V,0,30,PENDING_REVIEW,,
ORIGINAL_BASELINE.apk,zhiui-final-v2.apk,smali/com/byd/launcher/WallpaperRotationOptionListener.smali,public final onClick(Landroid/content/DialogInterface;I)V,0,44,PENDING_REVIEW,,
ORIGINAL_BASELINE.apk,zhiui-final-v2.apk,smali/com/byd/launcher/WallpaperRotationOptionListener.smali,public final onClick(Landroid/view/View;)V,0,152,PENDING_REVIEW,,
ORIGINAL_BASELINE.apk,zhiui-final-v2.apk,smali/o/cb.smali,public onMapClick(Landroid/view/View;)V,27,27,PENDING_REVIEW,,
ORIGINAL_BASELINE.apk,zhiui-final-v2.apk,smali/o/ia.smali,public final ˏ(Landroid/graphics/Bitmap;Ljava/lang/String;Ljava/lang/String;)V,1191,1191,PENDING_REVIEW,,
ORIGINAL_BASELINE.apk,zhiui-final-v2.apk,smali/o/tk.smali,public final run()V,44,44,PENDING_REVIEW,,
ORIGINAL_BASELINE.apk,zhiui-final-v2.apk,smali/o/uk.smali,public final onClick(Landroid/view/View;)V,38,38,PENDING_REVIEW,,
ORIGINAL_BASELINE.apk,zhiui-final-v2.apk,smali/o/vl.smali,public final Χ()V,7733,7775,PENDING_REVIEW,,
ORIGINAL_BASELINE.apk,zhiui-final-v2.apk,smali/o/vl.smali,public static constructor <clinit>()V,117,119,PENDING_REVIEW,,
ORIGINAL_BASELINE.apk,zhiui-final-v2.apk,smali/o/y7.smali,public final run()V,1185,1185,PENDING_REVIEW,,
ORIGINAL_BASELINE.apk,zhiui-final-v2.apk,smali/o/zk.smali,public final onCheckedChanged(Landroid/widget/CompoundButton;Z)V,38,38,PENDING_REVIEW,,
zhiui-final-v2.apk,zhiui-final-v3.11-lyrics-click-music-app-r1.apk,smali/com/byd/launcher/AirControlPanel.smali,public static show(Lcom/byd/launcher/NavBarService;)V,21,25,PENDING_REVIEW,,
